Entity,Code,Year,"Meat of cattle with the bone, fresh or chilled | 00000867 || Producing or slaughtered animals | 005320 || animals","Meat, goat | 00001017 || Producing or slaughtered animals | 005320 || animals","Meat, chicken | 00001058 || Producing or slaughtered animals | 005321 || animals","Meat, turkey | 00001080 || Producing or slaughtered animals | 005321 || animals","Meat, pig | 00001035 || Producing or slaughtered animals | 005320 || animals","Meat, lamb and mutton | 00000977 || Producing or slaughtered animals | 005320 || animals","Meat, duck | 00001069 || Producing or slaughtered animals | 005321 || animals"
Afghanistan,AFG,2018,633151,3541646,32655000,,,6836515,
Afghanistan,AFG,2019,611233,3624446,33534000,,,7000000,
Afghanistan,AFG,2020,592410,3604238,34436000,,,6961146,
Afghanistan,AFG,2021,557515,3630963,35482000,,,6800000,
Afghanistan,AFG,2022,519809,3657826,35770000,,,6700000,
Africa,,1961,12614469,26487736,350404000,1425000,3835586,34614513,8221000
Africa,,1962,12712172,27080963,364998000,1510000,3987514,35021812,8411000
Africa,,1963,12786035,26721023,376697000,1585000,4070344,35340310,8587000
Africa,,1964,13196142,27231173,397380000,1670000,4313906,36815350,8783000
Africa,,1965,13432494,28267679,415427000,1756000,4536320,38013473,8860000
Africa,,1966,14090209,28900312,441547000,1896000,4723078,39640925,9030000
Africa,,1967,14175980,29493872,468828000,1917000,4803676,40498866,9704000
Africa,,1968,14659364,30295226,496085000,2072000,5183896,41698535,9781000
Africa,,1969,15003805,30975405,533793000,2233000,5552211,43877123,10068000
Africa,,1970,15393810,31855907,566398000,2383000,5612991,42563895,10440000
Africa,,1971,15420125,32176266,591942000,2536000,5791367,44010082,10566000
Africa,,1972,15687175,32681384,632512000,2689000,6276989,43616932,10827000
Africa,,1973,16483070,31853242,668374000,2842000,6519707,43142874,10789000
Africa,,1974,16620750,32548864,700424000,2575000,6433929,42197422,10686000
Africa,,1975,15881124,32905035,741927000,2727000,6648802,43568325,10796000
Africa,,1976,16692025,33681363,802552000,2591000,7120474,44645136,11011000
Africa,,1977,17579919,35663194,847260000,2595000,7352123,46383135,11161000
Africa,,1978,18673379,37623221,889191000,2956000,7459540,48442164,11587000
Africa,,1979,18991474,38867850,933340000,3045000,7502749,48649120,11731000
Africa,,1980,19408181,39507772,978440000,2646000,7811557,51419897,10895000
Africa,,1981,18767714,39741532,1042921000,2800000,8234829,53451670,10898000
Africa,,1982,19473767,41268077,1110216000,2750000,8467417,52916427,13082000
Africa,,1983,20201186,42531213,1213755000,2754000,8602652,53396955,14774000
Africa,,1984,20397322,43056095,1311374000,3030000,8959832,54011469,15619000
Africa,,1985,20484816,43669115,1350234000,3693000,9466720,54545656,17061000
Africa,,1986,21081891,45504315,1435117000,4032000,10267802,52206239,17951000
Africa,,1987,20462697,48741714,1526332000,3857000,11022620,56786979,17639000
Africa,,1988,20831555,50841335,1541517000,4210000,11560210,59346620,18307000
Africa,,1989,20897845,53242899,1605809000,4652000,12702283,62069344,18564000
Africa,,1990,21816633,53544490,1748479000,4968000,13027717,62671327,19451000
Africa,,1991,23935995,50458786,1788537000,5213000,13219800,62049805,19982000
Africa,,1992,24518189,50290360,1811019000,6631000,13838405,62804947,20155000
Africa,,1993,24153354,46750708,1793115000,7185000,14082361,58174102,20602000
Africa,,1994,24076989,48043446,1887953000,7947000,14463298,58402669,20803000
Africa,,1995,24129156,49854103,2002694000,7312000,15516178,58837848,21655000
Africa,,1996,24806416,52047721,2062817000,7727000,15587995,59231835,22429000
Africa,,1997,25100650,54241627,2202662000,8523000,16120391,59910684,23584000
Africa,,1998,26210625,56233881,2234932000,8608000,16359180,61652934,25128000
Africa,,1999,27525193,59002983,2363128000,9117000,16880002,66304582,24484000
Africa,,2000,27882374,58473060,2416065000,10980000,17333558,67353183,25620000
Africa,,2001,26498115,61860393,2577486000,11466000,17974915,67819777,26140000
Africa,,2002,27191864,63644987,2662121000,12290000,18968115,68450158,26406000
Africa,,2003,26954857,66204922,2696669000,12712000,18795376,69676281,26806000
Africa,,2004,27317927,69041495,2740404000,13945000,19845951,71907728,28520000
Africa,,2005,28381309,70469895,2811768000,18200000,20697088,74303170,30390000
Africa,,2006,28799311,73841377,2947001000,15825000,20944818,78214651,32236000
Africa,,2007,29207447,76875392,3211573000,19240000,22248100,79122445,32763000
Africa,,2008,30458796,78833951,3404910000,21474000,23953856,78732107,34539000
Africa,,2009,31272747,81511645,3626536000,22760000,24347112,82399851,35037000
Africa,,2010,32617649,84602679,3844510000,25480000,26092195,87043251,37019000
Africa,,2011,33796248,87005017,3910478000,26501000,27236477,91173933,35861000
Africa,,2012,37976204,103131518,4019922000,29994000,28398290,111213932,38613000
Africa,,2013,39142159,105566742,4016418000,31189000,29522518,113678735,42354000
Africa,,2014,39221352,109760482,4115232000,32928000,29651796,115716612,44671000
Africa,,2015,39973233,112383946,4213032000,33946000,30978670,114955422,45500000
Africa,,2016,40747266,116080657,4455234000,37226000,31378487,117065986,43809000
Africa,,2017,41415251,115498869,4598139000,39600000,32269461,116112902,44047000
Africa,,2018,41132880,122253687,4712451000,39000000,37059306,118826162,45149000
Africa,,2019,42358755,130828445,5138230000,38190000,41915872,124436935,34292000
Africa,,2020,41387811,130381386,5339597000,39490000,39535595,130234734,32206000
Africa,,2021,42176214,130322190,5629701000,41238000,38868607,129684512,34330000
Africa,,2022,42904945,133339133,5823025000,41843000,41624615,128716305,36384000
Africa (FAO),,1961,13234469,28137736,358405000,1425000,3835586,37204512,8221000
Africa (FAO),,1962,13352172,28830964,372999000,1510000,3987514,37690812,8411000
Africa (FAO),,1963,13446035,28471024,386697000,1585000,4070344,37940312,8587000
Africa (FAO),,1964,13876142,29031172,409381000,1670000,4313906,39515352,8783000
Africa (FAO),,1965,14132494,30167680,428228000,1756000,4536320,40663472,8860000
Africa (FAO),,1966,14825209,30900312,453648000,1896000,4723078,42340924,9030000
Africa (FAO),,1967,14970980,31593872,481029000,1917000,4803676,43348864,9704000
Africa (FAO),,1968,15529364,32495226,508385000,2072000,5183896,44698536,9781000
Africa (FAO),,1969,15883805,33125404,546194000,2233000,5552211,46857124,10068000
Africa (FAO),,1970,16278810,34055908,578997000,2383000,5612991,45563896,10440000
Africa (FAO),,1971,16325125,34376264,604742000,2536000,5791367,47060080,10566000
Africa (FAO),,1972,16627175,34881384,645472000,2689000,6276989,46716932,10827000
Africa (FAO),,1973,17503070,34283240,681464000,2842000,6519707,46417872,10789000
Africa (FAO),,1974,17645750,35178864,713824000,2575000,6433929,45647424,10685000
Africa (FAO),,1975,16976124,35635036,755477000,2727000,6648802,47338324,10796000
Africa (FAO),,1976,17837024,36496364,816202000,2590000,7120474,48645136,11011000
Africa (FAO),,1977,18779920,38563192,861060000,2595000,7352123,50483136,11161000
Africa (FAO),,1978,19923380,40673220,903591000,2956000,7459540,52742164,11587000
Africa (FAO),,1979,20360474,42132848,948340000,3045000,7502749,53249120,11731000
Africa (FAO),,1980,20833180,42889772,994740000,2646000,7811557,56119896,10895000
Africa (FAO),,1981,20319064,42510760,1061421000,2800000,8234829,58308672,10898000
Africa (FAO),,1982,20973768,43508076,1128716000,2750000,8467417,56916428,13082000
Africa (FAO),,1983,21600580,44869672,1232755000,2754000,8602652,57409456,14774000
Africa (FAO),,1984,21981562,45379096,1330374000,3030000,8959832,58430220,15619000
Africa (FAO),,1985,22103816,45992116,1369734000,3693000,9466720,59139408,17061000
Africa (FAO),,1986,22581892,47650316,1455117000,4032000,10267802,56031240,17951000
Africa (FAO),,1987,21860696,50910712,1546832000,3857000,11022620,60749480,17639000
Africa (FAO),,1988,22329746,53343336,1561975000,4210000,11560210,63515884,18307000
Africa (FAO),,1989,22437568,55859100,1626838000,4652000,12702283,66327064,18564000
Africa (FAO),,1990,23409120,56235792,1770095000,4968000,13027717,67025056,19451000
Africa (FAO),,1991,25625282,54458784,1810957000,5213000,13219800,66554656,19982000
Africa (FAO),,1992,26318188,55598048,1834118000,6631000,13838405,68054944,20155000
Africa (FAO),,1993,26123354,53289168,1816716000,7185000,14082361,65049104,20602000
Africa (FAO),,1994,26126988,55187064,1911953000,7947000,14463298,66402668,20803000
Africa (FAO),,1995,26279156,58329336,2027694000,7312000,15516178,68337848,21655000
Africa (FAO),,1996,27004524,60715340,2089617000,7727000,15587996,69731832,22429000
Africa (FAO),,1997,27400650,63626240,2227662000,8523000,16120392,72410688,23584000
Africa (FAO),,1998,28610626,66733880,2259932000,8608000,16359180,77255936,25128000
Africa (FAO),,1999,30035192,70902984,2388628000,9117000,16880002,83304584,24484000
Africa (FAO),,2000,30482374,71273056,2442064000,10980000,17333558,85353184,25620000
Africa (FAO),,2001,29178114,75260392,2603987000,11466000,17974914,86819776,26140000
Africa (FAO),,2002,29871864,78244992,2689120000,12290000,18968116,87950160,26406000
Africa (FAO),,2003,29754858,81054920,2725670000,12712000,18795376,89363280,26806000
Africa (FAO),,2004,30117928,84046496,2777404000,13945000,19845952,91798928,28520000
Africa (FAO),,2005,31231308,85987296,2842268000,18200000,20697088,94873168,30390000
Africa (FAO),,2006,31699312,91832376,2972001000,15825000,20944818,102453648,32236000
Africa (FAO),,2007,32007448,95125392,3238573000,19240000,22248100,103403448,32763000
Africa (FAO),,2008,33258796,97383952,3431910000,21474000,23953856,105065104,34539000
Africa (FAO),,2009,34082748,100386648,3654536000,22760000,24347112,107180848,35037000
Africa (FAO),,2010,35437648,103727680,3882509000,25480000,26092196,112678256,37019000
Africa (FAO),,2011,36636248,106442520,3950478000,26501000,27236478,110459936,35861000
Africa (FAO),,2012,37976204,103131520,4019922000,29994000,28398290,111213936,38613000
Africa (FAO),,2013,39142156,105566744,4016419000,31189000,29522516,113678736,42354000
Africa (FAO),,2014,39221352,109760480,4115230000,32927000,29651796,115716616,44671000
Africa (FAO),,2015,39973236,112383944,4213031000,33946000,30978670,114955424,45499000
Africa (FAO),,2016,40747264,116080656,4455235000,37227000,31378488,117065984,43808000
Africa (FAO),,2017,41415252,115498872,4598138000,39600000,32269460,116112904,44048000
Africa (FAO),,2018,41132876,122253680,4712454000,39000000,37059304,118826160,45148000
Africa (FAO),,2019,42358752,130828448,5138231000,38191000,41915872,124436936,34292000
Africa (FAO),,2020,41387816,130381384,5339597000,39490000,39535592,130234736,32206000
Africa (FAO),,2021,42176216,130322184,5629703000,41238000,38868608,129684512,34331000
Africa (FAO),,2022,42904944,133339136,5823026000,41843000,41624616,128716304,36385000
Albania,ALB,1961,88806,427293,1568000,,59700,885776,
Albania,ALB,1962,91012,440000,1615000,,61000,860000,
Albania,ALB,1963,92000,400000,1769000,,53300,860000,
Albania,ALB,1964,74000,400000,1923000,,53300,865000,
Albania,ALB,1965,80000,430000,2446000,,61000,870000,
Albania,ALB,1966,84000,426000,2988000,,71700,855000,
Albania,ALB,1967,102500,538000,3108000,,81300,1080000,
Albania,ALB,1968,90000,426000,3236000,,92800,995000,
Albania,ALB,1969,108000,374000,3444000,,101700,850000,
Albania,ALB,1970,120000,318000,3498000,,104700,860000,
Albania,ALB,1971,130000,301500,3898000,,107300,800000,
Albania,ALB,1972,129000,280000,4000000,,109300,830000,
Albania,ALB,1973,127300,284000,4400000,,102700,830000,
Albania,ALB,1974,132000,288000,4900000,,106700,884000,
Albania,ALB,1975,120000,300000,5500000,,106700,896000,
Albania,ALB,1976,148700,308000,6000000,,110000,908000,
Albania,ALB,1977,136000,300000,6500000,,113300,920000,
Albania,ALB,1978,163000,300000,7000000,,113300,925000,
Albania,ALB,1979,170700,300000,7500000,,113300,870000,
Albania,ALB,1980,174000,332000,7900000,,112900,890000,
Albania,ALB,1981,177000,332000,8400000,,141900,900000,
Albania,ALB,1982,178000,332000,8900000,,141900,927000,
Albania,ALB,1983,183000,332000,9000000,,141900,933000,
Albania,ALB,1984,181000,332000,9750000,,154800,935000,
Albania,ALB,1985,204000,332000,10000000,,165000,930000,
Albania,ALB,1986,190000,332000,10100000,,177800,900000,
Albania,ALB,1987,180000,360000,10200000,,177800,900000,
Albania,ALB,1988,185000,370000,9900000,,190000,920000,
Albania,ALB,1989,200000,391000,10900000,,190000,990000,
Albania,ALB,1990,182000,377000,10800000,98000,204600,950000,
Albania,ALB,1991,190000,406000,10500000,,138500,980000,
Albania,ALB,1992,210000,587000,4200000,,163000,1110000,
Albania,ALB,1993,230000,610000,5500000,,192000,1160000,
Albania,ALB,1994,260000,830000,6100000,,208000,1400000,
Albania,ALB,1995,280000,583333,6300000,,210000,1700000,
Albania,ALB,1996,315000,760000,6113000,,98000,1350000,
Albania,ALB,1997,300000,700000,6500000,,102000,1300000,
Albania,ALB,1998,304000,800000,6600000,,100000,1285000,
Albania,ALB,1999,320000,800500,7000000,,95000,1286000,
Albania,ALB,2000,340000,900000,5700000,,116940,1360000,
Albania,ALB,2001,336000,900000,5700000,,116940,1360000,
Albania,ALB,2002,357800,900000,8000000,,129000,1360000,
Albania,ALB,2003,360000,900000,10500000,,129000,1360000,
Albania,ALB,2004,355000,982000,12000000,,151000,1500000,
Albania,ALB,2005,355000,980000,10162000,,170000,1455000,
Albania,ALB,2006,420000,919000,9831000,,169000,1516000,
Albania,ALB,2007,440000,1160000,10014000,,187000,2010000,
Albania,ALB,2008,360000,725000,8379000,,187000,1660000,
Albania,ALB,2009,354000,750000,7105000,,187000,1730000,
Albania,ALB,2010,370000,950000,6889000,,187000,1488900,
Albania,ALB,2011,374500,913000,8054000,,196000,1610000,
Albania,ALB,2012,303078,600000,8000000,,200000,1200000,
Albania,ALB,2013,303045,606250,8500000,,203530,1212500,
Albania,ALB,2014,306522,618750,8750000,0,205368,1283370,
Albania,ALB,2015,332028,641714,11160000,157000,194029,1314544,
Albania,ALB,2016,327272,644102,11634000,211000,200597,1380104,
Albania,ALB,2017,328425,642374,11826000,205000,203002,1375356,
Albania,ALB,2018,257785,657146,14093000,202000,231680,1130828,
Albania,ALB,2019,310796,769849,10256000,203000,206967,1326594,
Albania,ALB,2020,283437,748414,10785000,211000,182046,1219264,
Albania,ALB,2021,264070,703440,11412000,206000,189156,1268751,
Albania,ALB,2022,250485,657539,10646000,173000,131110,1177445,
Algeria,DZA,1961,200000,1000000,14140000,30000,1000,2300000,
Algeria,DZA,1962,180000,800000,15460000,30000,1000,2300000,
Algeria,DZA,1963,156170,621302,16470000,30000,1000,2170518,
Algeria,DZA,1964,180000,573452,18100000,30000,2000,2338038,
Algeria,DZA,1965,200000,904403,19940000,30000,2300,2251413,
Algeria,DZA,1966,230000,833530,21570000,30000,900,2200000,
Algeria,DZA,1967,260000,800000,23018000,30000,1000,2200000,
Algeria,DZA,1968,290000,900000,24520000,30000,1244,2571000,
Algeria,DZA,1969,300000,900000,25840000,30000,1867,2714000,
Algeria,DZA,1970,259000,900000,27060000,30000,2000,2929000,
Algeria,DZA,1971,322000,850000,28500000,30000,2000,2990000,
Algeria,DZA,1972,362000,800000,30000000,30000,2000,3190000,
Algeria,DZA,1973,388000,810000,32000000,30000,2050,3380000,
Algeria,DZA,1974,450000,890400,34000000,30000,2000,3186000,
Algeria,DZA,1975,401000,794000,36000000,30000,2000,3357000,
Algeria,DZA,1976,417000,728000,38000000,30000,2000,3640000,
Algeria,DZA,1977,430000,799200,40000000,30000,2000,3719000,
Algeria,DZA,1978,345000,881300,42000000,30000,2050,3907000,
Algeria,DZA,1979,360000,986200,44000000,30000,2050,4300000,
Algeria,DZA,1980,362000,925900,60000000,30000,2100,4400000,
Algeria,DZA,1981,355000,934600,72000000,30000,2200,4945000,
Algeria,DZA,1982,390000,971400,88000000,30000,2200,5220000,
Algeria,DZA,1983,529000,1007000,100000000,33000,2200,5070000,
Algeria,DZA,1984,365000,955000,150000000,44000,2300,5480000,
Algeria,DZA,1985,477000,914000,160000000,44000,2400,5480000,
Algeria,DZA,1986,458000,854800,170000000,46000,2500,5540000,
Algeria,DZA,1987,481000,873000,172000000,46000,2500,7600000,
Algeria,DZA,1988,533000,758800,182000000,48000,2600,7960000,
Algeria,DZA,1989,559000,817300,186000000,50000,2700,9200000,
Algeria,DZA,1990,584000,840500,194000000,52000,2800,9570000,
Algeria,DZA,1991,590000,845000,197000000,55000,2900,9900000,
Algeria,DZA,1992,600000,875000,199000000,57000,3000,10700000,
Algeria,DZA,1993,610000,860000,204000000,57000,3000,11000000,
Algeria,DZA,1994,615000,810000,210000000,71000,3200,10500000,
Algeria,DZA,1995,565000,845000,208000000,73000,3200,10000000,
Algeria,DZA,1996,588300,1100000,215000000,65000,3200,9967000,
Algeria,DZA,1997,567000,1186000,220000000,66000,3200,9363000,
Algeria,DZA,1998,562000,1216000,245000000,69000,3200,8645000,
Algeria,DZA,1999,649909,1225100,232000000,71000,3200,9601435,
Algeria,DZA,2000,670000,1230000,240000000,73000,3200,9650000,
Algeria,DZA,2001,573000,1235000,236000000,76000,3200,9650000,
Algeria,DZA,2002,600000,1235000,243000000,78000,3200,9700000,
Algeria,DZA,2003,621000,1235000,253000000,78000,3200,9700000,
Algeria,DZA,2004,645000,1280000,253000000,78000,3200,10135000,
Algeria,DZA,2005,620000,1328300,253000000,78000,3200,10475000,
Algeria,DZA,2006,627000,1389000,253000000,75000,3200,10867000,
Algeria,DZA,2007,630000,1420000,254000000,78000,3200,11000000,
Algeria,DZA,2008,640000,1410000,254000000,78000,3200,10500000,
Algeria,DZA,2009,670000,1500000,254000000,78000,3200,11600000,
Algeria,DZA,2010,680000,1650000,252000000,89000,3100,12050000,
Algeria,DZA,2011,700000,1700000,258000000,94000,2900,14900000,
Algeria,DZA,2012,700000,1750000,262000000,96000,3000,15400000,
Algeria,DZA,2013,760000,1850000,267000000,100000,3000,16200000,
Algeria,DZA,2014,790330,1941774,256739000,100000,2922,16165920,
Algeria,DZA,2015,817000,1904439,258696000,100000,2900,15997222,
Algeria,DZA,2016,790000,1853155,261416000,100000,2921,16101434,
Algeria,DZA,2017,720000,1878537,259963000,100000,2924,16178342,
Algeria,DZA,2018,673463,1839235,265182000,100000,2909,16414237,
Algeria,DZA,2019,658125,1848168,263719000,100000,2810,16833956,
Algeria,DZA,2020,641395,1841546,272146000,104000,2866,17759972,
Algeria,DZA,2021,636458,1888142,268830000,104000,2828,17940044,
Algeria,DZA,2022,635036,1923869,271810000,104000,2782,18032080,
Americas (FAO),,1961,66212944,7404462,2822749000,112247000,113447992,40025952,17511000
Americas (FAO),,1962,68690000,7466280,2878994000,99041000,115457648,40000304,17699000
Americas (FAO),,1963,70786440,7501733,3009188000,102435000,118644736,37823264,19138000
Americas (FAO),,1964,72986944,7695389,3137825000,109210000,118978960,35342040,20073000
Americas (FAO),,1965,75264392,7665846,3413935000,117141000,109710288,36217964,20195000
Americas (FAO),,1966,76356184,8041500,3341046000,129404000,110172600,37568268,20781000
Americas (FAO),,1967,77565752,7460461,3891388000,139117000,120220160,37947264,21717000
Americas (FAO),,1968,80681152,7488333,3940024000,121368000,123253312,38549952,21977000
Americas (FAO),,1969,81872832,7636612,4176349000,120022000,122226024,35802908,22152000
Americas (FAO),,1970,80463960,7939738,4447042000,132226000,127162024,36622088,22115000
Americas (FAO),,1971,76945576,7950664,4468657000,139151000,138464128,36275368,22737000
Americas (FAO),,1972,78046088,8824599,4688194000,148480000,129252416,31842220,22947000
Americas (FAO),,1973,74315024,8825742,4732619000,152611000,121911360,30491000,27012000
Americas (FAO),,1974,79234536,8500931,4851572000,160255000,128419104,30073772,28184000
Americas (FAO),,1975,90914232,8327680,4723754000,149283000,115775624,29861550,24582000
Americas (FAO),,1976,97784328,8355396,5207570000,165003000,122683096,28469680,26214000
Americas (FAO),,1977,98817032,8344251,5429895000,158657000,128289136,27518872,26534000
Americas (FAO),,1978,96765008,8385199,5840665000,161926000,130853376,25527476,28992000
Americas (FAO),,1979,87486440,8483306,6515127000,179425000,146479648,24992172,30566000
Americas (FAO),,1980,87367976,8501991,6947657000,193985000,157913776,24448420,31954000
Americas (FAO),,1981,91541200,8755204,7220768000,201844000,153588256,26664896,34333000
Americas (FAO),,1982,91275944,8866797,7333999000,197934000,142978784,27278496,37249000
Americas (FAO),,1983,91947016,8656213,7390474000,204185000,150762224,26778686,38548000
Americas (FAO),,1984,93812424,8501147,7385450000,205547000,146683168,26164128,39097000
Americas (FAO),,1985,94853128,9230630,7881324000,218444000,145566560,26332464,41262000
Americas (FAO),,1986,98170352,9391750,8131360000,239267000,138668992,26093436,42665000
Americas (FAO),,1987,93350592,9421787,8849662000,275269000,140875536,26303368,43292000
Americas (FAO),,1988,94319168,9460403,9076380000,281079000,148326032,26500552,44464000
Americas (FAO),,1989,95610008,9709668,9309967000,295233000,146254144,27159272,42110000
Americas (FAO),,1990,95300808,9920052,10113564000,316879000,142726080,28514504,44005000
Americas (FAO),,1991,96526032,10557061,10791184000,318887000,147980944,27597880,41266000
Americas (FAO),,1992,94610240,10593652,11501771000,323541000,159547360,27707446,38982000
Americas (FAO),,1993,95864608,10835734,12193990000,318359000,160479952,28308112,43958000
Americas (FAO),,1994,97049408,10568376,12909002000,323013000,167019328,27865836,46292000
Americas (FAO),,1995,98345184,11065665,14036282000,328983000,172636144,25672188,37365000
Americas (FAO),,1996,101486520,9090194,14418209000,343225000,168835008,25226400,35332000
Americas (FAO),,1997,102796304,9134152,14499918000,342087000,165596784,24925748,36670000
Americas (FAO),,1998,102543584,9671849,14882252000,325450000,180436864,24527358,37830000
Americas (FAO),,1999,106539840,9948982,15776728000,319625000,187869488,25385554,37307000
Americas (FAO),,2000,107765720,10042079,16236640000,326712000,187525552,25472676,38029000
Americas (FAO),,2001,107483840,10011360,16860438000,329840000,188962896,25649776,41823000
Americas (FAO),,2002,108985688,10336877,17380388000,333105000,195272880,24237788,37662000
Americas (FAO),,2003,110553152,10292691,17334108000,332902000,196759264,24140628,38130000
Americas (FAO),,2004,112439840,10272641,18157534000,321923000,201373856,23800588,39829000
Americas (FAO),,2005,116028688,10226868,19101424000,322956000,193895552,24285700,41828000
Americas (FAO),,2006,119213384,10220440,19214048000,331650000,195248688,24042872,42163000
Americas (FAO),,2007,121793840,10367890,20069508000,345008000,205485936,23601962,41525000
Americas (FAO),,2008,120747616,10351595,20643854000,356418000,213409456,23951496,38914000
Americas (FAO),,2009,120005232,10096323,20547526000,328641000,211593328,24830992,38061000
Americas (FAO),,2010,116406368,10349452,20399388000,315545000,209167392,23903634,39437000
Americas (FAO),,2011,115829912,10224946,20743898000,317596000,211685728,23590286,40484000
Americas (FAO),,2012,117048056,9893513,20011364000,333596000,217030288,23070972,40640000
Americas (FAO),,2013,119181624,9837833,20398340000,315592000,216713056,22931084,41060000
Americas (FAO),,2014,114302288,9590788,20694648000,310699000,212859840,23067674,43331000
Americas (FAO),,2015,110083864,9493905,21312388000,306501000,224777920,21973472,44592000
Americas (FAO),,2016,110157840,9293814,21519496000,321704000,232016160,21602512,44137000
Americas (FAO),,2017,114075576,9322435,21693008000,317448000,237421136,21232776,43498000
Americas (FAO),,2018,116775624,9403795,21943676000,294612000,243870496,21689386,44562000
Americas (FAO),,2019,119003248,9939505,22633292000,283073000,253556000,22356952,44195000
Americas (FAO),,2020,117857320,9894538,22739284000,273438000,257564496,22779318,39238000
Americas (FAO),,2021,118662912,9777383,23081132000,265931000,259557120,22945470,41227000
Americas (FAO),,2022,121374616,9846785,23371862000,260089000,260888352,22895056,43438000
Angola,AGO,1961,133000,145500,3400000,,160000,35000,
Angola,AGO,1962,143000,148500,3500000,,160000,36250,
Angola,AGO,1963,150000,150000,3600000,,160000,37388,
Angola,AGO,1964,166000,162900,3700000,,160000,36635,
Angola,AGO,1965,182000,174000,3800000,,180000,36260,
Angola,AGO,1966,190000,186000,4250000,,180000,35102,
Angola,AGO,1967,209000,198000,4550000,,180000,35000,
Angola,AGO,1968,210000,214428,4918000,,180000,34246,
